listing_id,name,price,property_type,review_scores_value,host_id,neighbourhood_id
1631386,Private Room in Downtown Toronto RM3,85,Private room in home,4.8,4297691,33
1632898,PENTHOUSE WITH LARGE HOT TUB,0,Entire condo,4.69,8675040,123
1638995,"Stylish, Sophisticated Apartment with Shaded Patio",177,Entire home,4.91,8702985,120
1646214,"2BR+Pullout, Sleeps 6, 1BA, Parking - Downtown Gem",104,Entire condo,4.94,8736297,88
1650864,"Private Room in Luxury Area, Shared Condo",87,Private room in condo,4.91,7372029,24
1651958,renovated cozy bachelor downtown Toronto,221,Entire rental unit,4.52,6044009,90
1652086,Deluxe King Room with En-Suite Bathroom,209,Private room in rental unit,4.53,8569918,137
1652220,Queen Room (shared bathroom),128,Private room in rental unit,4.17,8569918,137
1668445,Serviced Deluxe Family Apartment( self-contained),189,Entire rental unit,4.37,8569918,137
1668582,Serviced Deluxe King Studio Apartment,249,Entire rental unit,4.64,8569918,137
1673003,lovely 2 +1 bdrm home +  garage in  midtown,349,Entire home,4.97,8856331,69
1711196,Lovely Private Room in Toronto Home,0,Private room in home,4.86,3431521,104
1718208,Suite in a Premium Hotel - Min 12 months.,95,Entire condo,4.48,579683,24
1718363,Gorgeous studio in the heart of T.O,0,Entire rental unit,4.87,8478072,63
1722517,The best spot for a night. Women guest only,111,Private room in rental unit,4.69,8859994,123
1727775,View of Lake Ontario close to King West + Parking,196,Entire condo,4.6,9104636,88
1750120,"Sunny house, friendly neighbourhood",0,Entire home,0,4162773,33
1759486,One Bdrm Condo Kipling Subway,135,Entire condo,0,1553458,59
1762021,Great House on Palmerston Blvd in downtown Toronto,872,Entire home,4.8,44259,95
1779167,Spacious downtown condo,252,Entire condo,4.2,9341346,123
1785285,"Luxurious bath / Cosy, quiet room",59,Private room in home,4.88,8267190,4
1803281,RENOVATED MODERN 1 BEDROOM WALKOUT,0,Entire guest suite,4.91,9454044,15
1820689,Spectacular Yorkville Condo | 2BR Two Story Loft,314,Entire condo,4.81,9532580,4
1844121,Amazing Bed & Breakfast Downtown,149,Private room in rental unit,4.9,8952336,7
