amenity_id,amenity_name
277,"42 inch HDTV with Amazon Prime Video, Netflix, standard cable"
278,"42 inch HDTV with Amazon Prime Video, standard cable, DVD player"
279,42 inch HDTV with Apple TV
280,"42 inch HDTV with Apple TV, Amazon Prime Video, Netflix"
281,"42 inch HDTV with Apple TV, Chromecast, Netflix"
282,"42 inch HDTV with Apple TV, Netflix"
283,"42 inch HDTV with Apple TV, Netflix, standard cable"
284,42 inch HDTV with Chromecast
285,"42 inch HDTV with Chromecast, Fire TV, Netflix, Disney+, standard cable, Amazon Prime Video"
286,"42 inch HDTV with Chromecast, Netflix, Disney+"
287,"42 inch HDTV with Chromecast, Roku"
288,"42 inch HDTV with Disney+, Amazon Prime Video, Apple TV, Netflix"
289,"42 inch HDTV with Disney+, Amazon Prime Video, HBO Max, Netflix, premium cable"
290,"42 inch HDTV with Disney+, Fire TV, Netflix, Amazon Prime Video"
291,"42 inch HDTV with Disney+, Hulu, Chromecast, Netflix, Amazon Prime Video"
292,42 inch HDTV with Fire TV
293,"42 inch HDTV with Fire TV, Netflix"
294,"42 inch HDTV with Fire TV, Netflix, Roku"
295,42 inch HDTV with Netflix
296,"42 inch HDTV with Netflix, Amazon Prime Video"
297,"42 inch HDTV with Netflix, Amazon Prime Video, Apple TV, Disney+"
298,"42 inch HDTV with Netflix, Amazon Prime Video, standard cable"
299,"42 inch HDTV with Netflix, Apple TV, Amazon Prime Video"
300,"42 inch HDTV with Netflix, Disney+, Amazon Prime Video, Apple TV, Fire TV"
301,"42 inch HDTV with Netflix, Roku"
302,"42 inch HDTV with Netflix, Roku, standard cable"
303,"42 inch HDTV with Netflix, premium cable"
304,"42 inch HDTV with Netflix, premium cable, Roku"
305,"42 inch HDTV with Netflix, standard cable"
306,"42 inch HDTV with Netflix, standard cable, Amazon Prime Video"
307,"42 inch HDTV with Netflix, standard cable, Amazon Prime Video, Disney+"
308,42 inch HDTV with Roku
309,"42 inch HDTV with Roku, Amazon Prime Video, Netflix, Disney+"
310,"42 inch HDTV with Roku, Netflix"
311,"42 inch HDTV with Roku, Netflix, Amazon Prime Video"
312,"42 inch HDTV with Roku, Netflix, Apple TV, Amazon Prime Video"
313,"42 inch HDTV with Roku, standard cable"
314,42 inch HDTV with premium cable
315,"42 inch HDTV with premium cable, Apple TV, Hulu, standard cable, Netflix, Roku"
316,"42 inch HDTV with premium cable, Roku, standard cable"
317,"42 inch HDTV with premium cable, standard cable"
318,42 inch HDTV with standard cable
319,"42 inch HDTV with standard cable, Amazon Prime Video"
320,"42 inch HDTV with standard cable, Amazon Prime Video, Netflix"
321,42 inch TV
322,42 inch TV with Amazon Prime Video
323,"42 inch TV with Amazon Prime Video, Disney+"
324,"42 inch TV with Amazon Prime Video, Disney+, Netflix, standard cable"
325,"42 inch TV with Amazon Prime Video, Fire TV, Hulu, Netflix, Roku"
326,"42 inch TV with Amazon Prime Video, Netflix, Roku"
327,42 inch TV with Apple TV
328,42 inch TV with Chromecast
329,"42 inch TV with Chromecast, Fire TV, Netflix"
330,"42 inch TV with Chromecast, Netflix"
331,"42 inch TV with Chromecast, Netflix, Amazon Prime Video, DVD player, standard cable"
332,"42 inch TV with Chromecast, standard cable"
333,42 inch TV with Fire TV
334,"42 inch TV with Fire TV, Hulu, Netflix, Roku"
335,"42 inch TV with Fire TV, Netflix"
336,"42 inch TV with Fire TV, Netflix, Roku"
337,42 inch TV with Netflix
338,"42 inch TV with Netflix, Amazon Prime Video, Roku"
339,"42 inch TV with Netflix, Fire TV, Roku"
340,"42 inch TV with Netflix, Hulu, Fire TV, Roku"
341,"42 inch TV with Netflix, Roku"
342,"42 inch TV with Netflix, Roku, Fire TV"
343,"42 inch TV with Netflix, standard cable"
344,42 inch TV with premium cable
345,42 inch TV with standard cable
346,43 inch HDTV
347,43 inch HDTV with Amazon Prime Video
348,"43 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Fire TV, Netflix"
349,"43 inch HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Netflix, standard cable"
350,"43 inch HDTV with Amazon Prime Video, Apple TV, Netflix, Roku"
351,"43 inch HDTV with Amazon Prime Video, Disney+, HBO Max, Hulu, Netflix, premium cable, standard cable"
352,"43 inch HDTV with Amazon Prime Video, Disney+, HBO Max, Netflix, DVD player"
353,"43 inch HDTV with Amazon Prime Video, Disney+, HBO Max, Netflix, Roku"
354,"43 inch HDTV with Amazon Prime Video, Disney+, Netflix, DVD player"
355,"43 inch HDTV with Amazon Prime Video, Disney+, Netflix, Roku"
356,"43 inch HDTV with Amazon Prime Video, Fire TV, Netflix, Roku"
357,"43 inch HDTV with Amazon Prime Video, Fire TV, Netflix, premium cable, DVD player"
358,"43 inch HDTV with Amazon Prime Video, Netflix"
359,"43 inch HDTV with Amazon Prime Video, Netflix, Disney+"
360,"43 inch HDTV with Amazon Prime Video, Netflix, Disney+, Chromecast"
361,"43 inch HDTV with Amazon Prime Video, Netflix, Roku"
362,"43 inch HDTV with Amazon Prime Video, Netflix, standard cable"
363,"43 inch HDTV with Amazon Prime Video, Roku, Disney+, Netflix"
364,"43 inch HDTV with Amazon Prime Video, standard cable"
365,43 inch HDTV with Apple TV
366,"43 inch HDTV with Apple TV, Netflix"
367,43 inch HDTV with Chromecast
368,"43 inch HDTV with Chromecast, Amazon Prime Video"
369,"43 inch HDTV with Chromecast, Netflix"
370,"43 inch HDTV with Chromecast, Netflix, Roku"
371,"43 inch HDTV with Chromecast, Netflix, premium cable"
372,"43 inch HDTV with Chromecast, Netflix, standard cable"
373,"43 inch HDTV with Chromecast, Roku"
374,"43 inch HDTV with Disney+, Amazon Prime Video, Netflix"
375,"43 inch HDTV with Fire TV, DVD player"
376,"43 inch HDTV with Fire TV, Disney+, Netflix, Chromecast, Amazon Prime Video, Apple TV, Roku"
377,"43 inch HDTV with Fire TV, Netflix"
378,43 inch HDTV with Netflix
379,"43 inch HDTV with Netflix, Amazon Prime Video"
380,"43 inch HDTV with Netflix, Amazon Prime Video, Apple TV"
381,"43 inch HDTV with Netflix, Amazon Prime Video, Fire TV"
382,"43 inch HDTV with Netflix, Amazon Prime Video, Roku, Chromecast, Disney+, Apple TV, Fire TV, Hulu"
383,"43 inch HDTV with Netflix, Disney+"
384,"43 inch HDTV with Netflix, Roku"
385,"43 inch HDTV with Netflix, Roku, standard cable"
386,"43 inch HDTV with Netflix, premium cable"
387,"43 inch HDTV with Netflix, standard cable"
388,"43 inch HDTV with Netflix, standard cable, Fire TV"
389,43 inch HDTV with Roku
390,"43 inch HDTV with Roku, Chromecast"
391,"43 inch HDTV with Roku, DVD player"
392,"43 inch HDTV with Roku, Netflix"
393,"43 inch HDTV with Roku, Netflix, Amazon Prime Video, Disney+"
394,"43 inch HDTV with Roku, standard cable"
395,43 inch HDTV with premium cable
396,"43 inch HDTV with premium cable, Chromecast"
397,43 inch HDTV with standard cable
398,"43 inch HDTV with standard cable, Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix, Roku"
399,"43 inch HDTV with standard cable, Chromecast"
400,43 inch TV
401,"43 inch TV with Amazon Prime Video, Chromecast, Disney+, Fire TV, HBO Max, Hulu, Netflix, Roku"
402,"43 inch TV with Amazon Prime Video, Fire TV, Hulu, Netflix, Roku"
403,"43 inch TV with Amazon Prime Video, Fire TV, Netflix, Roku"
404,43 inch TV with Apple TV
405,43 inch TV with Chromecast
406,"43 inch TV with Fire TV, Hulu, Netflix, Roku"
407,"43 inch TV with Fire TV, Netflix, Roku"
408,"43 inch TV with Fire TV, Roku, Netflix"
409,"43 inch TV with Hulu, Netflix, Fire TV, Roku"
410,"43 inch TV with Hulu, Netflix, Roku, Fire TV, Amazon Prime Video"
411,43 inch TV with Netflix
412,"43 inch TV with Netflix, Amazon Prime Video, Roku"
413,"43 inch TV with Netflix, Chromecast"
414,"43 inch TV with Netflix, Fire TV, Roku"
415,"43 inch TV with Netflix, Roku"
416,"43 inch TV with Netflix, Roku, Fire TV"
417,"43 inch TV with Netflix, Roku, standard cable"
418,43 inch TV with Roku
419,"43 inch TV with Roku, Netflix"
420,"43 inch TV with Roku, Netflix, Fire TV"
421,"43 inch TV with Roku, Netflix, Hulu, Fire TV"
422,44 inch HDTV
423,"44 inch HDTV with Amazon Prime Video, Chromecast, Fire TV, Netflix"
424,"44 inch HDTV with Amazon Prime Video, Fire TV, Netflix"
425,"44 inch HDTV with Amazon Prime Video, Netflix"
426,"44 inch HDTV with Amazon Prime Video, premium cable, Netflix"
427,44 inch TV
428,44 inch TV with Fire TV
429,"44 inch TV with Netflix, DVD player"
430,44 inch TV with Roku
431,45 inch HDTV
432,"45 inch HDTV with Amazon Prime Video, Apple TV, Chromecast, Disney+, Fire TV, HBO Max, Hulu, Netflix, standard cable"
433,"45 inch HDTV with Amazon Prime Video, Apple TV, Netflix"
434,"45 inch HDTV with Amazon Prime Video, Apple TV, Netflix, Roku"
435,"45 inch HDTV with Amazon Prime Video, Disney+, Netflix"
436,"45 inch HDTV with Amazon Prime Video, Disney+, Netflix, HBO Max"
437,"45 inch HDTV with Amazon Prime Video, Fire TV, Netflix"
438,"45 inch HDTV with Amazon Prime Video, Netflix"
439,"45 inch HDTV with Amazon Prime Video, Netflix, Fire TV, Disney+, standard cable, premium cable"
440,"45 inch HDTV with Amazon Prime Video, Netflix, Roku, standard cable"
441,"45 inch HDTV with Apple TV, Netflix, Amazon Prime Video, Roku"
442,45 inch HDTV with Chromecast
443,"45 inch HDTV with Chromecast, Netflix"
444,"45 inch HDTV with Chromecast, Roku, Netflix, Amazon Prime Video, Apple TV"
445,45 inch HDTV with Fire TV
446,"45 inch HDTV with Fire TV, DVD player"
447,"45 inch HDTV with Fire TV, Disney+, Roku, Netflix"
448,45 inch HDTV with Netflix
449,"45 inch HDTV with Netflix, Amazon Prime Video, standard cable, HBO Max"
450,"45 inch HDTV with Netflix, standard cable"
451,45 inch HDTV with Roku
452,"45 inch HDTV with premium cable, standard cable"
453,45 inch HDTV with standard cable
454,"45 inch HDTV with standard cable, Netflix, Amazon Prime Video"
455,45 inch TV
456,"45 inch TV with Amazon Prime Video, Hulu, Netflix, Roku, DVD player"
457,"45 inch TV with Amazon Prime Video, Netflix"
458,45 inch TV with Fire TV
459,46 inch HDTV
460,"46 inch HDTV with Amazon Prime Video, Apple TV, Chromecast, Disney+, Hulu, Netflix, standard cable"
461,"46 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix"
462,"46 inch HDTV with Amazon Prime Video, Chromecast, Fire TV, Netflix"
463,"46 inch HDTV with Amazon Prime Video, Chromecast, Netflix, Fire TV"
464,"46 inch HDTV with Amazon Prime Video, Fire TV, Netflix"
465,"46 inch HDTV with Amazon Prime Video, Fire TV, Netflix, Disney+"
466,"46 inch HDTV with Amazon Prime Video, Netflix"
467,"46 inch HDTV with Amazon Prime Video, Netflix, Roku"
468,"46 inch HDTV with Amazon Prime Video, Netflix, premium cable"
469,46 inch HDTV with Chromecast
470,"46 inch HDTV with DVD player, Netflix"
471,"46 inch HDTV with Disney+, Netflix"
472,"46 inch HDTV with Disney+, standard cable, Amazon Prime Video, Fire TV, Netflix"
473,"46 inch HDTV with Fire TV, Netflix"
474,"46 inch HDTV with Fire TV, Netflix, Amazon Prime Video, Roku"
475,46 inch HDTV with Netflix
476,"46 inch HDTV with Netflix, Amazon Prime Video, Apple TV, standard cable"
477,"46 inch HDTV with Netflix, Fire TV"
478,"46 inch HDTV with Netflix, standard cable, Apple TV, Amazon Prime Video, Disney+"
479,46 inch HDTV with Roku
480,46 inch HDTV with premium cable
481,"46 inch HDTV with standard cable, Netflix, Roku"
482,46 inch TV
483,"46 inch TV with Amazon Prime Video, Netflix, standard cable"
484,46 inch TV with Netflix
485,47 inch HDTV
486,"47 inch HDTV with Amazon Prime Video, Disney+, Netflix, standard cable"
487,"47 inch HDTV with Amazon Prime Video, Fire TV, Netflix, standard cable"
488,"47 inch HDTV with Amazon Prime Video, Fire TV, standard cable"
489,47 inch HDTV with Apple TV
490,"47 inch HDTV with Chromecast, Disney+, Netflix"
491,"47 inch HDTV with Chromecast, premium cable"
492,"47 inch HDTV with Disney+, Netflix"
493,47 inch HDTV with Netflix
494,"47 inch HDTV with Netflix, Roku"
495,48 inch HDTV
496,48 inch HDTV with Amazon Prime Video
497,"48 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Fire TV, Netflix, standard cable"
498,"48 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix, Roku, standard cable"
499,"48 inch HDTV with Amazon Prime Video, Chromecast, Disney+, Netflix"
500,"48 inch HDTV with Amazon Prime Video, Disney+, Chromecast, Netflix, premium cable"
501,"48 inch HDTV with Amazon Prime Video, Disney+, Netflix"
502,"48 inch HDTV with Amazon Prime Video, Netflix"
503,"48 inch HDTV with Amazon Prime Video, Netflix, Disney+"
504,"48 inch HDTV with Amazon Prime Video, Netflix, standard cable"
505,"48 inch HDTV with Amazon Prime Video, premium cable, standard cable, Netflix, HBO Max"
506,48 inch HDTV with Apple TV
507,"48 inch HDTV with Apple TV, Amazon Prime Video, Disney+, standard cable, Netflix"
508,"48 inch HDTV with Apple TV, Amazon Prime Video, premium cable, DVD player, Disney+, standard cable, HBO Max, Netflix"
509,"48 inch HDTV with Apple TV, Chromecast"
510,"48 inch HDTV with Apple TV, Netflix, Amazon Prime Video, Chromecast"
511,48 inch HDTV with Chromecast
512,"48 inch HDTV with Chromecast, Fire TV, Netflix, premium cable"
513,"48 inch HDTV with Chromecast, Netflix"
514,48 inch HDTV with DVD player
515,48 inch HDTV with Fire TV
516,"48 inch HDTV with HBO Max, Disney+, Hulu, Apple TV, Netflix, Amazon Prime Video"
517,48 inch HDTV with Netflix
518,"48 inch HDTV with Netflix, Amazon Prime Video"
519,48 inch HDTV with Roku
520,48 inch HDTV with premium cable
521,"48 inch HDTV with standard cable, DVD player"
522,"48 inch HDTV with standard cable, Netflix"
523,48 inch TV
